id	namegoods	pins	typeassembly_id	description	lastupdate
66	BLM21AG102SN1 (0805 1 кОм ±25% 200 мА)	2	1	фильтр	2021-09-06 12:09:42.692081
67	BLM18AG102SN1 (0603 1 кОм 500 мА)	2	1	фильтр	2021-09-06 12:09:42.692081
68	BCP56-16	3	1	диод	2021-09-06 12:09:42.692081
69	BAV99LT1G	3	1	диод	2021-09-06 12:09:42.692081
70	B72210S0271K101	3	1	диод	2021-09-06 12:09:42.692081
71	B41815F8477M000 (470 мкФ 63 В)	2	1	индуктивность	2021-09-06 12:09:42.692081
72	B32652A6104J000 (630 В, 0,1 мкФ.)	2	1	индуктивность	2021-09-06 12:09:42.692081
73	B32522N6474J000 (0,47 мкФ 450В)	2	1	индуктивность	2021-09-06 12:09:42.692081
74	AD22105ARZ	16	1	микросхема	2021-09-06 12:09:42.692081
75	74437429203151	2	1	индуктивность	2021-09-06 12:09:42.692081
76	7448031501	2	1	индуктивность	2021-09-06 12:09:42.692081
77	7443641000	2	1	индуктивность	2021-09-06 12:09:42.692081
78	0463015.ER	2	1	диод	2021-09-06 12:09:42.692081
79	ER64/13/51-3C95	0	3	феррит	2021-09-06 12:09:42.692081
80	PQ35/35-3C95	0	3	феррит	2021-09-06 12:09:42.692081
81	PC47PQ35/35Z-12	0	3	феррит	2021-09-06 12:09:42.692081
82	PC47PQ35/35-160-22	0	3	феррит	2021-09-06 12:09:42.692081
83	B41851F7108M000	2	1	индуктивность	2021-09-06 12:09:42.692081
84	IR25750	6	1	транзистор	2021-09-06 12:09:42.692081
85	IR4427SPBF	6	1	транзистор	2021-09-06 12:09:42.692081
86	IRFP4227	6	1	транзистор	2021-09-06 12:09:42.692081
87	SRP1270-2R2M	2	1	индуктивность	2021-09-06 12:09:42.692081
88	IRFP90N20DPBF	6	1	транзистор	2021-09-06 12:09:42.692081
89	25AA040AT-I/OT	24	1	микросхема	2021-09-06 12:09:42.692081
90	31_MMBX-SMA-50-1	5	2	разъем	2021-09-06 12:09:42.692081
91	32_MMBX-50-0-1	5	2	разъем	2021-09-06 12:09:42.692081
92	92_MMBX-S50-0-12/111_N	5	2	разъем	2021-09-06 12:09:42.692081
93	04025C332K4T4A  (0402  3300 пФ ±10% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
94	AD8317ACPZ-R7	36	1	микросхема	2021-09-06 12:09:42.692081
95	B57861S0103F045 (10 кОм 1%)	2	1	резистор	2021-09-06 12:09:42.692081
96	BLM15PD121SN1 (0402 120 Ом ±25% 1300 мА)	2	1	фильтр	2021-09-06 12:09:42.692081
97	BLM18SG260TN1 (0603 26 Ом ±25% 6 А)	2	1	фильтр	2021-09-06 12:09:42.692081
98	CC0402KRX7R8BB473 (0402  0,047 мкФ ±10% 25 B)	2	1	конденсатор	2021-09-06 12:09:42.692081
99	GRM153R61A105M (0402 X5R 1 мкФ ±20% 10 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
100	GRM155R71H102K (0402 X7R 1000 пФ ±10% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
101	GRM155R71H103K (0402 X7R 0,01 мкФ ±10% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
102	GRM155R71H104K (0402 X7R 0,1 мкФ ±10% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
103	GRM188R61C106MA73 (0603 10 мкФ ±20% 16 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
104	GRM188R61E225K (0603 X5R 2,2 мкФ ±10% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
105	GRM1555C1H101J (0402 C0G 100 пФ ±5% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
106	HMC311SC70E	64	1	микросхема	2021-09-06 12:09:42.692081
107	HMC1119LP4ME	64	1	микросхема	2021-09-06 12:09:42.692081
108	IRLML0060TRPBF	3	1	транзистор	2021-09-06 12:09:42.692081
109	LQW15CNR27K10 (0402 270 нГн ±10% 420 мА)	2	1	индуктивность	2021-09-06 12:09:42.692081
110	LQW18ANR15G00 (0603 150 нГн ±2% 160 мА)	2	1	индуктивность	2021-09-06 12:09:42.692081
111	LQW18CNR56J00 (0603 560 нГн ±5% 450мА)	2	1	индуктивность	2021-09-06 12:09:42.692081
112	LT1962EMS8-3.3#PBF	48	1	микросхема	2021-09-06 12:09:42.692081
113	MECT-110-01-M-D-RA1(Samtec)	16	2	разъем	2021-09-06 12:09:42.692081
114	RC0402FR-0710KL (0402 10 кОм ±1% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
115	RC0402JR-070RL (0402 0 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
116	RC0402JR-071KL (0402 1 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
117	RC0402JR-075K1L (0402 5,1 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
118	RC0402JR-0751RL (0402 51 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
119	RC0402JR-0791KL (0402 91кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
120	RC0402JR-07150RL (0402 150 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
121	RC0603JR-0720RL (0603 20 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
122	SPF-5122Z	6	1	транзистор	2021-09-06 12:09:42.692081
123	TC77-5.0MCTTR	2	1	диод	2021-09-06 12:09:42.692081
124	TLMS1000-GS08	2	1	диод	2021-09-06 12:09:42.692081
125	TLMY1000-GS08	2	1	диод	2021-09-06 12:09:42.692081
126	ТВ-65-0,6-0,8	0	3	модуль пельтье	2021-09-06 12:09:42.692081
127	RC0402JR-07110RL (0402 110 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
128	TAJD337M010RNJ  (330 мкФ+_20%  10В)	2	1	конденсатор	2021-09-06 12:09:42.692081
129	ABM10-16MHZ-D25-T	6	1	кварц	2021-09-06 12:09:42.692081
130	GRM188R61E106K (0603 X5R 10 мкФ ±10% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
131	GRM155B31E105K (0402 1 мкФ ±10% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
132	GRM155R71A104K (0402 X7R 0,1 мкФ ±10% 10 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
133	GRM188R61H474M  (0,47 мкФ 50В 0603)	2	1	конденсатор	2021-09-06 12:09:42.692081
134	GRM21BR60J476M (0805 X5R 47 мкФ ±20% 6,3 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
135	GRM1555C1H100J (0402 C0G 10 пФ ±5% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
136	GRM1555C1H102G (0402 C0G 1000 пФ ±2% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
137	GRM188R71H102J (0603 X7R 1000 пФ ±5% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
138	GRM152R61A104K (0402 X5R 0,1 мкФ ±10% 10 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
139	GRM188R71H103J (0603 X7R 0,01 мкФ ±5% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
140	GRM155R71E104K (0402 X7R 0,1 мкФ ±10% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
141	STM32F446RET6	64	1	микросхема	2021-09-06 12:09:42.692081
142	L6360TR	24	1	микросхема	2021-09-06 12:09:42.692081
143	LT3995IMSE	48	1	микросхема	2021-09-06 12:09:42.692081
144	ADM2582EBRWZ	48	1	микросхема	2021-09-06 12:09:42.692081
145	AD820ARMZ	48	1	микросхема	2021-09-06 12:09:42.692081
146	IHLP2525CZER100M01	2	1	индуктивность	2021-09-06 12:09:42.692081
147	RC0402FR-070RL (0402 0 Ом ±1% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
148	RC0402JR-071K5L (0402 1,5 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
149	RC0402JR-07100KL (0402 100 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
150	RC0402JR-07330RL (0402 330 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
151	RC0402JR-07270RL (0402 270 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
152	RC0603FR-07100KL (0603 100 кОм ±1% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
153	RC0603FR-07470KL (0603 470 кОм ±1% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
154	RC0603FR-071ML (0603 1 МОм ±1% 150 В)	2	1	резистор	2021-09-06 12:09:42.692081
155	RC0402JR-07470RL (0402 470 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
156	CRCW1206165RFKTA (1206; 165 Ом)	2	1	резистор	2021-09-06 12:09:42.692081
157	PGB1010402MR	6	1	диод	2021-09-06 12:09:42.692081
158	VLMW1300-GS08	2	1	светодиод	2021-09-06 12:09:42.692081
159	SK310A	6	1	диод	2021-09-06 12:09:42.692081
160	SBR3U60P1	6	1	диод	2021-09-06 12:09:42.692081
161	PBS4 шаг 2 мм	8	2	разъем	2021-09-06 12:09:42.692081
162	ZX62-B-5PA(11)	6	1	диод	2021-09-06 12:09:42.692081
163	DBPLE103A056-130EGF	12	2	разъем	2021-09-06 12:09:42.692081
164	DBPLE102A059-130EGF	12	2	разъем	2021-09-06 12:09:42.692081
165	BLM15AG121SN1 (0402 120 Ом ±25% 550 мА)	2	1	фильтр	2021-09-06 12:09:42.692081
166	BLM18PG330SH1 (0603 33 Ом ±25% 3 А)	2	1	фильтр	2021-09-06 12:09:42.692081
167	GRM219R61E106K (0805 X5R 10 мкФ ±10% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
168	NFM18CC223R1C3 (0603 0,022 мкФ ±20% 16 В 1 А)	3	1	проходной конденсатор	2021-09-06 12:09:42.692081
169	GRM15XR71H102K (0402 X7R 1000 пФ ±10% 50 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
170	GRM32ER71A476M (1210 X7R 47 мкФ ±20% 10 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
171	GRM31CR60J107M (1206 X5R 100 мкФ ±20% 6,3 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
172	SSM1-402E-10T (4000 пФ ±25% 100 В 10 А)	2	1	конденсатор	2021-09-06 12:09:42.692081
173	ADuM6401CRWZ	24	1	микросхема	2021-09-06 12:09:42.692081
174	LTC2854HDD#PBF	48	1	микросхема	2021-09-06 12:09:42.692081
175	10M16SAU169I7G	800	1	микросхема	2021-09-06 12:09:42.692081
176	LTM4622EV	64	1	микросхема	2021-09-06 12:09:42.692081
177	GXO-U108L/I 60 МГц	6	1	кварц	2021-09-06 12:09:42.692081
178	CDDFN6-0504P	6	1	диод	2021-09-06 12:09:42.692081
179	SF-1206F700	6	1	диод	2021-09-06 12:09:42.692081
180	RC0402FR-07390RL (0402 390 Ом ±1% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
181	RC0402FR-0713K3L (0402 13,3 кОм ±1% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
182	RC0402FR-0719K1L (0402 19,1 кОм ±1% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
183	RC0402JR-07100RL (0402 100 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
184	APHHS1005LQBC/D-V	2	1	светодиод	2021-09-06 12:09:42.692081
185	P4SMAJ5.0A	2	1	диод	2021-09-06 12:09:42.692081
186	DBPC102A054-130	16	2	разъем	2021-09-06 12:09:42.692081
187	SEAM-40-03.0-L-10-2-A-K-TR	400	1	разъем	2021-09-06 12:09:42.692081
188	BLM15PD300SN1 (0402 30 Ом ±25% 2200 мА)	3	1	фильтр	2021-09-06 12:09:42.692081
189	PLD-10 (шаг 2,54)	10	2	разъем	2021-09-06 12:09:42.692081
190	GRM155R61E105K (0402 X5R 1 мкФ ±10% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
191	GRM219R61C226K (0805 X5R 22 мкФ ±10% 16 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
192	GRM188R61C106M (0603 X7R 10 мкФ ±20% 16 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
193	GRM1555C2A5R0CA01 (0402 C0G 5 пФ ±0,25 пФ 100 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
194	GRM155R71E103K (0402 X7R 0,01 мкФ ±10% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
195	GRM155R61A474K (0402 X5R 0,47 мкФ ±10% 10 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
196	GRM155R71C473K (0402 X7R 0,047 мкФ ±10% 16 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
197	GRM188R61C475K (0603 X5R 4,7 мкФ ±10% 16 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
198	GRM155R61E225M (0402 X5R 2,2 мкФ ±20% 25 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
199	10TPE330M (330 мкФ ±20% 10 В)	2	1	конденсатор	2021-09-06 12:09:42.692081
200	ADG849YKSZ	24	1	микросхема	2021-09-06 12:09:42.692081
201	ADN2850BCPZ25	24	1	микросхема	2021-09-06 12:09:42.692081
202	ADN2850BCPZ250	24	1	микросхема	2021-09-06 12:09:42.692081
203	AD8211YRJZ-R2	24	1	микросхема	2021-09-06 12:09:42.692081
204	ADN2830ACPZ32	24	1	микросхема	2021-09-06 12:09:42.692081
205	MAX1978ETM+	24	1	микросхема	2021-09-06 12:09:42.692081
206	TPS62085RLT	24	1	микросхема	2021-09-06 12:09:42.692081
207	MCP9804-E/MS	24	1	микросхема	2021-09-06 12:09:42.692081
208	GXO3232L/E 16 MHz	6	1	кварц	2021-09-06 12:09:42.692081
209	LQH32PN3R3NNC  (1210 3,3 мкГн 1,9 A)	2	1	индуктивность	2021-09-06 12:09:42.692081
210	XFL4015-471ME (0,47 мкГн ±20% 6,6 А)	2	1	индуктивность	2021-09-06 12:09:42.692081
211	RC0402JR-073K9L (0402 3,9 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
212	RC0402JR-072KL (0402 2 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
213	RC0402JR-0718RL (0402 18 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
214	RC0402JR-07510RL (0402 510 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
215	RC1206JR-070RL (1206 0 Ом ±5% 200 В)	2	1	резистор	2021-09-06 12:09:42.692081
216	WSL1206R5000FEA (1206 0,5 Ом ±1 %)	2	1	резистор	2021-09-06 12:09:42.692081
217	RC0402JR-073KL (0402 3 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
218	RC0402JR-0710KL (0402 10 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
219	WSL1206R1500FEA (1206 150 мОм ±1%)	2	1	резистор	2021-09-06 12:09:42.692081
220	RC0603JR-07330RL (0603 330 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
221	RC0603JR-0713RL (0603 13 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
222	RC0402JR-0768KL (0402 68 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
223	RC0402JR-0720KL (0402 20 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
224	RC0402JR-071ML (0402 1 МОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
225	RC0402JR-0782KL (0402 82 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
226	RC0603JR-07820RL (0603 820 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
227	RC0603JR-070RL (0603 0 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
228	RC0402JR-07150KL (0402 150 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
229	RC0603JR-07150KL (0603 150 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
230	RC0603JR-07430KL (0603 430 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
231	RC0603JR-07160RL (0603 160 Ом ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
232	RC0402JR-074K7L (0402 4,7 кОм ±5% 50 В)	2	1	резистор	2021-09-06 12:09:42.692081
233	QTLP600C4TR	2	1	диод	2021-09-06 12:09:42.692081
234	PTD0075A	2	1	диод	2021-09-06 12:09:42.692081
235	TLMO1000-GS08	2	1	светодиод	2021-09-06 12:09:42.692081
236	SK32A	2	1	диод	2021-09-06 12:09:42.692081
237	MMBT3904-7-F	6	1	транзистор	2021-09-06 12:09:42.692081
238	DBPC103A056-130	16	2	разъем	2021-09-06 12:09:42.692081
239	PLS2-4	4	2	разъем	2021-09-06 12:09:42.692081
240	RC0603JR-071MRL (0603 1Mom+_5%)	2	1	резистор	2021-09-06 12:09:42.692081
241	PGB1010402TR	10	1	транзистор	2021-09-06 12:09:42.692081
